data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,29,155.6,-126.6,-0.01,-0.04,,,,,,,31.6,20.5,0,1,8
1980-02,83,115.8,-32.8,0.85,1.11,,,,,,,29.7,20.3,0,2,4
1980-03,80,126.7,-46.7,0.16,0.31,0.3,0.45,,,,,28.5,19.3,0,2,10
1980-04,31,121.9,-90.9,-0.96,-0.89,-0.06,0.08,,,,,29.3,19.2,0,1,16
1980-05,7,110.6,-103.6,-2.25,-1.56,-1.29,-1.02,,,,,28.4,18.7,0,0,15
1980-06,112,83.8,28.2,0.63,0.64,-0.9,-0.97,-0.42,-0.38,,,26.5,18.3,0,4,3
1980-07,23,99.7,-76.7,-1.94,-1.86,-1.09,-1.22,-0.78,-0.75,,,25.9,16.8,0,0,7
1980-08,3,119.8,-116.8,-2.73,-1.98,-0.78,-1.1,-1.42,-1.26,,,27.6,16.9,0,0,13
1980-09,22,136.7,-114.7,0.42,-0.33,-2.11,-1.83,-1.5,-1.39,,,29.9,18.2,0,1,15
1980-10,20,146.4,-126.4,0.81,0.89,-0.7,-0.92,-1.16,-1.24,,,29.3,18.6,0,0,13
1980-11,6,158.5,-152.5,-0.3,-0.07,0.32,0.07,-0.59,-0.82,,,31.2,19.6,0,0,26
1980-12,10,164.8,-154.8,-0.17,-0.3,0.05,0.02,-1.57,-1.33,-0.94,-0.88,31.6,19.8,0,0,15
1981-01,58,152.3,-94.3,0.6,0.66,0.14,0,-0.28,-0.47,-0.82,-0.8,30.6,19.7,0,3,9
1981-02,15,144.3,-129.3,-1.25,-0.93,-0.21,-0.38,-0.16,-0.35,-1.24,-1.12,30.1,19.4,0,0,8
1981-03,263,126.9,136.1,2.18,2.14,1.33,1.27,1.19,1.08,-0.08,-0.46,29.6,20.2,1,10,10
1981-04,30,116.4,-86.4,-0.99,-0.82,0.92,0.84,0.72,0.56,-0.09,-0.41,27.8,19.3,0,1,11
1981-05,16,95.5,-79.5,-1.55,-1.01,0.74,0.76,0.35,0.23,-0.05,-0.23,26.5,18.3,0,0,15
1981-06,24,94.6,-70.6,-1.49,-1.63,-2.26,-1.44,0.01,-0.11,-0.58,-0.69,26.4,17.6,0,0,7
1981-07,34,97.7,-63.7,-1.33,-1.48,-2.39,-1.74,-0.41,-0.6,-0.5,-0.66,25.5,16.3,0,1,4
1981-08,13,109.7,-96.7,-1.37,-1.24,-2.08,-1.75,-0.36,-0.57,-0.46,-0.61,26.6,16.6,0,0,7
1981-09,13,127.4,-114.4,-0.19,-0.31,-1.69,-1.42,-2.39,-1.53,-0.5,-0.61,27.5,17.2,0,0,7
1981-10,1,174.2,-173.2,-1.13,-1.88,-1.47,-1.5,-2.48,-1.74,-0.63,-0.8,31,18.7,0,0,18
1981-11,31,159.7,-128.7,0.93,0.83,0.23,-0.4,-1.6,-1.6,-0.47,-0.68,30.8,19.5,0,0,9
1981-12,14,148.8,-134.8,0.04,0.38,0.29,-0.04,-1.11,-1.03,-0.42,-0.57,30.3,19.8,0,0,10
1982-01,8,164.1,-156.1,-0.87,-1.09,-0.25,-0.25,-0.92,-0.91,-0.77,-0.85,31,19.5,0,0,8
1982-02,25,127.3,-102.3,-0.73,-0.29,-0.86,-0.55,-0.71,-0.66,-0.67,-0.75,29.3,19.4,0,0,9
1982-03,15,163.9,-148.9,-1.65,-1.54,-1.58,-1.29,-1.31,-1.17,-2.54,-1.6,31.7,20.6,0,1,10
1982-04,55,122.1,-67.1,-0.29,-0.47,-1.3,-1.14,-1.27,-1.06,-2.34,-1.59,29.8,20.7,0,0,9
1982-05,155,84.2,70.8,1.43,1.52,0,-0.24,-0.54,-0.57,-1.23,-1.16,25.9,18.9,0,4,2
1982-06,81,76.7,4.3,0.1,0.22,0.58,0.54,-0.44,-0.53,-0.86,-0.88,25.2,18.1,0,1,2
1982-07,54,85.3,-31.3,-0.5,-0.5,0.67,0.77,-0.39,-0.49,-0.71,-0.76,25.3,17.5,0,0,4
1982-08,43,102.7,-59.7,0.19,0.1,-0.21,-0.21,-0.19,-0.41,-0.55,-0.65,26.1,17.4,0,0,4
1982-09,5,122.9,-117.9,-1.08,-0.49,-0.58,-0.49,0.21,0.1,-0.59,-0.66,28.1,18.2,0,0,14
1982-10,3,164,-161,-0.59,-0.99,-0.49,-0.51,0.38,0.3,-0.59,-0.61,30.4,18.5,0,0,28
1982-11,1,174.4,-173.4,-1.15,-1.45,-1.5,-1.22,-0.58,-0.63,-0.77,-0.77,31.1,19,0,0,27
1982-12,14,169.5,-155.5,0.04,-0.33,-0.56,-1.15,-0.85,-0.9,-0.73,-0.82,31.3,19.6,0,0,8
1983-01,56,170.1,-114.1,0.57,0.27,0.09,-0.59,-0.23,-0.69,-0.49,-0.69,32.5,20.5,1,1,14
1983-02,135,118.8,16.2,1.7,1.77,1.1,0.89,0.71,0.22,0.16,-0.22,29.4,20.4,0,7,6
1983-03,63,134.7,-71.7,-0.16,-0.11,0.79,0.73,0.52,0.13,0.4,0.12,30.1,20.7,0,1,5
1983-04,16,129.4,-113.4,-1.61,-1.28,0.14,0.09,0.04,-0.31,0.21,-0.05,30,19.9,0,0,16
1983-05,48,112.5,-64.5,-0.37,-0.67,-1.16,-1.08,-0.07,-0.36,-0.39,-0.56,29.1,19.3,0,1,11
1983-06,37,96.1,-59.1,-0.99,-1.3,-1.64,-1.45,-0.33,-0.57,-0.67,-0.86,27.1,18.2,0,0,6
1983-07,80,105.6,-25.6,0.3,-0.34,-0.75,-1.19,-0.43,-0.73,-0.5,-0.85,27.6,17.7,0,1,9
1983-08,18,114.8,-96.8,-1,-1.24,-0.83,-1.27,-1.36,-1.36,-0.67,-1.02,27.4,17.7,0,0,20
1983-09,2,147.7,-145.7,-1.75,-1.9,-0.63,-1.33,-1.46,-1.51,-0.68,-1.11,30,18.3,0,0,29
1983-10,11,156.7,-145.7,0.28,-0.02,-1.27,-1.58,-1.05,-1.41,-0.64,-1.06,30.4,19,0,0,21
1983-11,8,177.8,-169.8,-0.13,-1.15,-0.69,-1.42,-0.99,-1.56,-0.59,-1.03,32.2,19.5,0,0,26
1983-12,0,177.4,-177.4,,-1.25,-0.52,-1.22,-0.87,-1.51,-0.64,-1.07,32,19.8,0,0,31
1984-01,5,170.4,-165.4,-1.12,-1.56,-1.52,-1.66,-1.77,-1.85,-1.04,-1.28,32.1,20,0,0,15
1984-02,0,170.3,-170.3,,-1.88,-2.69,-1.96,-2.28,-1.93,-2.03,-1.74,32.7,20.3,0,0,29
1984-03,60,148,-88,-0.22,-0.4,-1.23,-1.43,-1.48,-1.6,-1.97,-1.76,31.9,21,0,3,6
1984-04,194,99.1,94.9,1.71,1.88,0.49,0.14,-0.1,-0.71,-0.71,-1.23,28.3,20.4,0,8,2
1984-05,87,89.4,-2.4,0.45,0.56,0.99,1.03,0.03,-0.4,-0.49,-1.02,26.4,19,0,1,2
1984-06,43,86.6,-43.5,-0.8,-0.88,0.85,0.92,-0.1,-0.4,-0.47,-0.98,25.8,17.5,0,0,5
1984-07,72,82.5,-10.5,0.07,0.1,-0.27,-0.27,0.12,-0.16,-0.5,-0.93,24.7,17.4,0,1,8
1984-08,71,100,-29,1.04,0.99,-0.11,-0.17,0.63,0.56,-0.22,-0.69,26.1,17.5,0,1,8
1984-09,25,126.5,-101.5,0.59,0.29,0.65,0.51,0.86,0.84,-0.09,-0.52,28,18,0,0,4
1984-10,11,157.9,-146.9,0.28,-0.09,0.93,0.63,0.11,0,-0.09,-0.52,30,18.7,0,0,12
1984-11,1,166.6,-165.6,-1.15,-0.84,-0.03,-0.35,-0.16,-0.26,-0.13,-0.48,31.4,19.1,0,0,27
1984-12,1,192.7,-191.7,-1.25,-1.95,-0.81,-1.47,0.09,-0.36,-0.09,-0.51,33,19.5,2,0,27
1985-01,24,163.3,-139.3,-0.16,-0.43,-0.95,-1.41,-0.08,-0.61,-0.01,-0.44,32.6,20.8,0,1,8
1985-02,129,128.7,0.3,1.62,1.58,0.64,0.16,0.49,-0.11,0.66,0.29,30.2,19.7,0,3,8
1985-03,206,127.4,78.6,1.69,1.74,1.47,1.43,1.19,0.8,1.28,1.05,29.5,20.3,0,6,3
1985-04,194,93.5,100.5,1.71,1.94,2.28,2.47,1.69,1.55,1.3,1.08,27.7,20,0,5,3
1985-05,35,99.2,-64.2,-0.75,-0.67,1.64,1.81,1.49,1.39,1.07,0.85,27.2,19.1,0,1,6
1985-06,95,77.4,17.6,0.35,0.46,0.85,0.97,1.5,1.57,1.32,1.09,25.8,18.5,0,3,4
1985-07,84,77,7,0.4,0.57,-0.13,-0.09,1.77,2.13,1.33,1.15,24.4,17.6,0,1,4
1985-08,63,99.5,-36.5,0.82,0.8,0.55,0.62,1.46,1.77,1.3,1.13,25.9,17.7,0,1,4
1985-09,12,125.4,-113.4,-0.27,-0.27,0.5,0.49,0.81,0.86,1.22,1.05,28,17.8,0,0,8
1985-10,2,164.8,-162.8,-0.8,-1.12,0.26,0.01,-0.06,-0.14,1.2,0.98,31,18.2,0,0,14
1985-11,6,160.1,-154.1,-0.3,-0.15,-0.74,-0.72,0.24,0.21,1.21,1.02,31.4,19.3,0,0,15
1985-12,6,143.1,-137.1,-0.46,0.31,-0.76,-0.38,-0.02,0.11,1.24,1.23,31,20,0,0,17
1986-01,40,163.5,-123.5,0.26,0.04,-0.27,-0.18,-0.13,-0.15,1.38,1.38,31.5,19.6,0,1,15
1986-02,66,132.1,-66.1,0.5,0.51,0.18,0.2,-0.15,-0.22,1.07,1.07,30.5,19.6,0,2,7
1986-03,118,116.5,1.5,0.72,0.98,0.56,0.59,0.25,0.25,0.66,0.71,28.6,19.8,0,4,2
1986-04,130,99.6,30.4,0.98,1.13,0.96,1.19,0.62,0.77,0.36,0.42,27.8,19.9,0,5,6
