data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,439,129.6,309.4,1.52,1.53,,,,,,,29.7,19.9,0,11,6,459,642
1980-02,184,117.5,66.5,0.18,0.18,,,,,,,30.2,20.1,0,8,6,440,567
1980-03,108,135.9,-27.9,-0.75,-0.95,0.79,0.73,,,,,32.9,20.2,3,5,9,513,659
1980-04,116,101.4,14.6,0.92,0.95,0.03,-0.11,,,,,30.4,19.2,0,3,14,444,514
1980-05,10,88.9,-78.9,-1.31,-1.16,-0.43,-0.64,,,,,28.5,16.6,0,0,18,390,483
1980-06,39,75.5,-36.5,0.56,0.86,0.35,0.29,0.8,0.73,,,26.3,13.6,0,1,10,298,441
1980-07,0,87.3,-87.3,,-0.33,-0.52,-0.44,-0.26,-0.43,,,28.7,15.2,0,0,31,370,481
1980-08,7,112.8,-105.8,-0.56,-0.01,0.02,0.12,-0.47,-0.67,,,30.5,18.5,2,0,18,450,484
1980-09,84,118.8,-34.8,0.87,0.93,0.37,0.49,0.38,0.48,,,29.3,17,0,3,12,396,509
1980-10,111,162.3,-51.3,0.3,0.01,0.53,0.44,0.03,-0.03,,,33,20.5,10,5,9,519,675
1980-11,153,146.9,6.1,0.27,0.26,0.58,0.43,0.46,0.31,,,31.6,20.7,0,7,8,484,671
1980-12,251,143.7,107.3,0.58,0.43,0.52,0.27,0.53,0.35,1.06,0.96,31.4,21.7,0,8,3,512,671
1981-01,244,122.9,121.1,-0.09,-0.14,0.23,0.2,0.38,0.3,0.05,-0.02,30.6,21.8,0,9,3,504,574
1981-02,86,139.8,-53.8,-1.18,-1.36,-0.47,-0.65,-0.14,-0.42,-0.52,-0.72,32.1,21.1,0,3,4,466,651
1981-03,160,124.5,35.5,0.15,0.04,-0.7,-0.81,-0.33,-0.63,-0.22,-0.5,31.5,21,4,5,8,505,592
1981-04,51,115.3,-64.3,-0.44,-0.77,-0.87,-1.09,-0.51,-0.78,-0.55,-0.84,30.2,17.8,0,2,10,419,572
1981-05,17,104.2,-87.2,-0.86,-1.45,-0.5,-0.86,-0.74,-1.02,-0.51,-0.86,29.6,16.7,0,0,20,407,537
1981-06,73,78.8,-5.8,1.19,1.39,0.03,-0.5,-0.68,-0.95,-0.33,-0.74,27,13.9,0,2,12,312,425
1981-07,0,96.9,-96.9,,-1.35,0.27,-0.15,-0.81,-1.18,-0.31,-0.74,26.1,12.1,0,0,31,281,493
1981-08,3,127.4,-124.4,-1.02,-1.16,0.64,0.17,-0.24,-0.82,-0.32,-0.82,30.9,15.2,2,0,17,405,535
1981-09,2,147.8,-145.8,-2.21,-1.31,-2.52,-1.74,-0.9,-1.42,-0.72,-1.21,32.9,18.2,10,0,25,466,548
1981-10,180,133.8,46.2,1.23,1.29,0.32,0.07,0.29,-0.23,-0.37,-0.78,30,18.7,0,6,6,445,600
1981-11,142,138.7,3.3,0.1,0.21,0.36,0.28,0.52,0.18,-0.47,-0.82,30.9,20.8,0,5,4,476,643
1981-12,236,133.3,102.7,0.37,0.37,0.9,1,0.19,-0.02,-0.6,-0.92,29.9,20.5,0,10,3,470,619
1982-01,309,123,186,0.52,0.49,0.5,0.59,0.51,0.45,-0.2,-0.49,29,20.2,0,15,5,453,588
1982-02,246,132.4,113.6,0.79,0.68,0.85,0.8,0.89,0.8,0.66,0.31,31.3,20.9,0,8,6,451,609
1982-03,326,103.3,222.7,2.1,2.13,1.56,1.58,1.85,1.84,1.53,1.34,28.8,20.5,0,11,2,455,507
1982-04,28,108.9,-80.9,-1.23,-1.12,1.26,1.27,1.27,1.34,1.3,1.15,28.8,17.5,0,1,15,396,554
1982-05,101,91.2,9.8,1.32,1.31,1.57,1.69,1.54,1.54,1.69,1.61,27.1,15.1,0,3,18,344,500
1982-06,17,74.2,-57.1,-0.09,0.27,0.1,-0.09,1.42,1.46,1.44,1.39,27.2,15.4,0,0,11,338,397
1982-07,6,91.2,-85.2,-0.69,-0.16,0.76,0.82,1.42,1.48,1.42,1.37,27.5,15,0,0,13,350,496
1982-08,12,112.2,-100.2,-0.21,0.24,-0.28,-0.19,1.27,1.47,1.44,1.47,29.3,16.9,0,0,12,406,523
1982-09,26,133,-107,-0.44,-0.46,-0.58,-0.51,-0.32,-0.43,1.49,1.51,30.6,17.6,0,1,18,423,572
1982-10,207,132.7,74.3,1.53,1.52,0.99,1.01,1.18,1.14,1.62,1.55,30.2,19.8,0,9,3,466,627
1982-11,154,142.1,11.9,0.29,0.35,0.91,0.92,0.72,0.71,1.82,1.58,31.6,21,0,6,4,489,662
1982-12,197,111.7,85.3,-0.24,0.1,0.9,1.13,0.5,0.68,1.68,1.55,28.5,20,0,9,3,442,537
1983-01,460,114.5,345.5,1.67,1.79,1.3,1.41,1.53,1.56,2.15,1.94,29.2,21.2,0,16,1,472,566
1983-02,218,117.9,100.1,0.53,0.55,1.31,1.49,1.63,1.78,2.31,2.2,30.8,21.3,0,6,3,449,564
1983-03,186,118.4,67.6,0.52,0.52,1.48,1.54,1.77,1.88,1.66,1.98,29.8,20,0,7,4,462,595
