ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,feijao,,1650,693,0,420,21.9,,LN,1,,,
1975,feijao,,1600,336,0,210,-39.4,-50,N,0,,,
1976,feijao,,512,57,0,111,-68,-47,LN,0,,,
1977,feijao,,1251,600,0,480,37.3,200,EN,0,,,
1978,feijao,,2232,1071,0,480,37,0,EN,0,,,
1979,feijao,,2657,1497,0,563,60.3,17.4,N,0,,,
1980,feijao,,515,62,0,120,-65.9,-78.6,EN,0,,,
1981,feijao,,24,1,0,42,-88.2,-65.4,N,0,383,51,21
1982,feijao,,1768,619,0,350,-1.3,200,N,0,108,39,22
1984,feijao,,525,319,0,608,73,,LN,0,65,61,78
1985,feijao,,226,85,0,376,8,-38.1,LN,0,187,57,64
1986,feijao,,643,331,0,515,47.5,36.9,N,0,141,32,35
1987,feijao,,224,23,0,103,-71.1,-80.1,EN,1,187,28,23
1988,feijao,500,500,136,0,272,-25.3,164.9,EN,0,159,84,64
1989,feijao,700,700,21,0,30,-92,-89,LN,1,148,51,36
1990,feijao,500,350,168,0.0058,480,25.3,200,N,0,220,21,14
1991,feijao,800,800,320,0.0116,400,1.5,-16.7,EN,0,102,19,31
1992,feijao,1150,750,293,0.4155,391,-3.6,-2.3,EN,1,283,61,29
1993,feijao,835,35,13,0.3309,371,-12.1,-4.9,EN,0,59,31,11
1994,feijao,900,900,432,216,480,7.8,29.2,N,0,177,23,34
1995,feijao,1700,1700,844,279,496,7.4,3.4,EN,0,115,35,66
1996,feijao,1700,1020,510,255,500,4.7,0.7,LN,0,108,30,76
1997,feijao,1700,1700,680,340,400,-19.1,-20,N,0,296,25,34
1998,feijao,500,500,250,200,500,-0.7,25,EN,1,83,69,114
1999,feijao,1600,1600,800,480,500,-0.2,0,LN,1,43,118,110
2000,feijao,1600,1600,894,375,559,13.2,11.7,LN,1,352,16,28
2001,feijao,1600,1600,800,612,500,3.4,-10.5,LN,0,158,23,37
2002,feijao,1600,1600,800,800,500,7.8,0,N,0,501,27,10
2003,feijao,800,,,,,,,EN,1,187,39,62
