ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,cana,,30,780,0,26000,,,LN,1,,,
1975,cana,,20,661,0,33050,,27.1,N,0,,,
1976,cana,,20,670,0,33500,,1.4,LN,0,,,
1984,cana,,40,1600,0,40000,,,LN,0,386,22,0
1985,cana,,40,1600,0,40000,,0,LN,0,558,14,0
1986,cana,,38,1900,0,50000,,25,N,0,741,16,0
1987,cana,,40,2000,0,50000,,0,EN,1,917,8,0
1988,cana,50,50,3000,0,60000,,20,EN,0,422,21,1
1996,cana,100,100,4500,82,45000,,,LN,0,369,28,0
1997,cana,50,50,2250,44,45000,,0,N,0,533,10,0
1998,cana,50,50,2250,44,45000,,0,EN,1,201,28,0
1999,cana,30,30,600,12,20000,,-55.6,LN,1,254,14,0
1984,feijao,,20,6,0,300,-25,,LN,0,386,22,0
1988,feijao,35,35,7,0,200,-50,,EN,0,422,21,1
1989,feijao,40,40,16,0,400,0,100,LN,1,367,17,0
1990,feijao,40,20,8,1e-04,400,0,0,N,0,344,12,0
1991,feijao,40,40,16,0.0013,400,0,0,EN,0,405,8,0
1992,feijao,40,40,16,0.0087,400,0,0,EN,1,914,15,0
1993,feijao,40,40,16,0.5818,400,0,0,EN,0,299,16,0
1994,feijao,40,40,16,10,400,0,0,N,0,399,9,0
1995,feijao,40,40,16,8,400,0,0,EN,0,255,26,0
1996,feijao,40,40,16,8,400,0,0,LN,0,369,28,0
1997,feijao,40,40,16,8,400,0,0,N,0,533,10,0
2008,feijao,30,30,15,30,500,51.9,,LN,1,522,19,0
2009,feijao,30,30,15,30,500,51.7,0,LN,0,510,24,0
2010,feijao,30,30,15,30,500,51.6,0,EN,1,334,16,0
2011,feijao,30,30,15,30,500,51.1,0,LN,1,446,14,0
1975,milho,,78,66,0,846,,,N,0,,,
1976,milho,,78,66,0,846,,0,LN,0,,,
1984,milho,,20,6,0,300,,,LN,0,386,22,0
1989,milho,20,20,5,0,250,,,LN,1,367,17,0
1990,milho,20,20,14,1e-04,700,,180,N,0,344,12,0
1991,milho,20,20,14,5e-04,700,,0,EN,0,405,8,0
2008,milho,20,20,24,12,1200,,,LN,1,522,19,0
2009,milho,20,20,24,12,1200,,0,LN,0,510,24,0
2010,milho,20,20,10,5,500,,-58.3,EN,1,334,16,0
2011,milho,20,20,10,5,500,,0,LN,1,446,14,0
2008,milho1,20,20,24,,1200,,,LN,1,522,19,0
2009,milho1,20,20,24,,1200,,0,LN,0,510,24,0
2010,milho1,20,20,10,,500,,-58.3,EN,1,334,16,0
2011,milho1,20,20,10,,500,,0,LN,1,446,14,0
