ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1975,cana,,1,50,0,50000,,,LN,0,,,
1976,cana,,1,42,0,42000,,-16,LN,1,,,
1977,cana,,1,50,0,50000,,19,EN,0,,,
1978,cana,,1,50,0,50000,,0,EN,0,,,
1979,cana,,1,50,0,50000,,0,N,0,,,
1974,feijao,,8,9,0,1125,,,LN,1,,,
1984,feijao,,10,8,0,800,,,LN,0,844,10,0
1985,feijao,,10,10,0,1000,,25,LN,0,811,17,0
1986,feijao,,10,8,0,800,,-20,N,0,959,16,0
1987,feijao,,4,4,0,1000,,25,EN,0,1155,11,0
1988,feijao,5,5,5,0,1000,,0,EN,0,1091,10,0
1989,feijao,2,2,2,0,1000,,0,LN,1,1234,10,0
1990,feijao,2,2,2,0,1000,,0,N,0,1142,11,0
1991,feijao,2,2,2,0,1000,,0,N,0,1212,9,0
1974,milho,,10,14,0,1400,,,LN,1,,,
1975,milho,,10,14,0,1400,,0,LN,0,,,
1976,milho,,10,14,0,1400,,0,LN,1,,,
1977,milho,,10,14,0,1400,,0,EN,0,,,
1978,milho,,6,6,0,1000,,-28.6,EN,0,,,
1979,milho,,5,6,0,1200,,20,N,0,,,
1984,milho,,5,10,0,2000,,,LN,0,844,10,0
1985,milho,,5,10,0,2000,,0,LN,0,811,17,0
1986,milho,,5,10,0,2000,,0,N,0,959,16,0
1987,milho,,3,6,0,2000,,0,EN,0,1155,11,0
1988,milho,3,3,6,0,2000,,0,EN,0,1091,10,0
1989,milho,1,1,2,0,2000,,0,LN,1,1234,10,0
1990,milho,1,1,2,0,2000,,0,N,0,1142,11,0
1991,milho,1,1,2,0,2000,,0,N,0,1212,9,0
