ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1985,arroz,,10,10,0,1000,,,LN,0,-0.8,1759,5,4
1986,arroz,,10,10,0,1000,,0,N,0,-0.3,1716,13,11
1987,arroz,,10,10,0,1000,,0,EN,1,1.6,1908,9,4
1988,arroz,5,5,5,0,1000,,0,EN,0,0.7,2089,12,8
1989,arroz,2,2,2,0,1000,,0,LN,1,-1.7,2290,7,3
1990,arroz,2,2,2,0,1000,,0,N,0,0.2,1287,9,5
1991,arroz,2,2,2,0,1000,,0,EN,0,0.6,1957,12,0
1984,feijao,,10,11,0,1100,,,LN,0,-0.5,1475,15,7
1985,feijao,,5,4,0,800,,-27.3,LN,0,-0.8,1759,5,4
1986,feijao,,10,9,0,900,,12.5,N,0,-0.3,1716,13,11
1987,feijao,,10,9,0,900,,0,EN,1,1.6,1908,9,4
1988,feijao,11,11,10,0,909,,1,EN,0,0.7,2089,12,8
1989,feijao,4,4,2,0,500,,-45,LN,1,-1.7,2290,7,3
1990,feijao,3,3,2,0,667,,33.3,N,0,0.2,1287,9,5
1991,feijao,3,3,2,1e-04,667,,0,EN,0,0.6,1957,12,0
1989,milho,5,5,9,0,1800,,,LN,1,-1.7,2290,7,3
1990,milho,5,5,9,0,1800,,0,N,0,0.2,1287,9,5
1991,milho,5,5,9,1e-04,1800,,0,EN,0,0.6,1957,12,0
