ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1984,arroz,,5,6,0,1200,,,LN,0,1427,15,7
1985,arroz,,10,10,0,1000,,-16.7,LN,0,1793,5,4
1986,arroz,,10,12,0,1200,,20,N,0,1724,11,11
1987,arroz,,5,5,0,1000,,-16.7,EN,0,2139,9,4
1988,arroz,10,10,12,0,1200,,20,EN,0,1950,8,8
1989,arroz,3,3,4,0,1333,,11.1,LN,1,1543,6,3
1990,arroz,3,3,4,0,1333,,0,N,0,1033,9,5
1991,arroz,3,3,4,1e-04,1333,,0,N,0,1450,8,1
2009,arroz,0,,,,,,,LN,0,1684,7,46
2009,cana,0,,,,,,,LN,0,1684,7,46
1982,feijao,,4,4,0,1000,,,N,0,1799,11,5
1983,feijao,,2,1,0,500,,-50,EN,1,2252,5,12
1984,feijao,,20,24,0,1200,,140,LN,0,1427,15,7
1985,feijao,,10,9,0,900,,-25,LN,0,1793,5,4
1986,feijao,,20,12,0,600,,-33.3,N,0,1724,11,11
1987,feijao,,10,6,0,600,,0,EN,0,2139,9,4
1988,feijao,22,22,14,0,636,,6.1,EN,0,1950,8,8
1989,feijao,5,5,3,0,600,,-5.7,LN,1,1543,6,3
1990,feijao,4,4,3,0,750,,25,N,0,1033,9,5
1991,feijao,4,4,2,1e-04,500,,-33.3,N,0,1450,8,1
1992,feijao,2,2,2,0.0013,1000,,100,EN,1,967,14,19
2009,feijao,0,,,,,,,LN,0,1684,7,46
1989,milho,3,3,5,0,1667,,,LN,1,1543,6,3
1990,milho,3,3,5,0,1667,,0,N,0,1033,9,5
1991,milho,3,3,5,1e-04,1667,,0,N,0,1450,8,1
2009,milho,0,,,,,,,LN,0,1684,7,46
2009,soja,0,,,,,,,LN,0,1684,7,46
2009,trigo,0,,,,,,,LN,0,1684,7,46
