ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,cana,,5000,198775,0,39755,-9.5,,41582,LN,1,-1.5,,,
1975,cana,,5049,201960,0,40000,-9.8,0.6,43325,N,0,-0.1,,,
1976,cana,,3590,161550,0,45000,0.7,12.5,45014,LN,0,-1,,,
1977,cana,,5650,282500,0,50000,11.3,11.1,46474,EN,0,1,,,
1978,cana,,7050,331609,0,47037,4.4,-5.9,47520,EN,0,0.9,,,
1979,cana,,6755,337754,0,50001,11,6.3,48021,N,0,0.2,,,
1980,cana,,6882,330352,0,48002,6.5,-4,47940,EN,0,0.6,,,
1981,cana,,7475,403614,0,53995,20.1,12.5,47354,N,0,0,566,20,0
1982,cana,,7680,422400,0,55000,22.9,1.9,46424,N,0,0.1,379,30,0
1983,cana,,9604,422576,0,44000,-1.4,-20,45356,EN,1,2.5,330,33,1
1984,cana,,9100,361839,0,39763,-10,-9.6,44352,LN,0,-0.5,227,26,3
1985,cana,,8200,335167,0,40874,-5.9,2.8,43571,LN,0,-0.8,415,40,28
1986,cana,,6756,282617,0,41832,-2.8,2.3,43114,N,0,-0.3,282,39,13
1987,cana,,10077,404551,1e-04,40146,-7.3,-4,43017,EN,1,1.6,485,22,3
1988,cana,5799,5799,196675,3e-04,33915,-22.8,-15.5,43260,EN,0,0.7,151,44,7
1989,cana,6200,6200,297600,0.0055,48000,7.4,41.5,43776,LN,1,-1.7,339,16,1
1990,cana,6769,6769,319497,0.1117,47200,4.1,-1.7,44471,N,0,0.2,261,14,2
1991,cana,5900,5900,277400,0.5939,47017,2.1,-0.4,45237,EN,0,0.6,232,18,14
1992,cana,5830,5830,308407,7.5328,52900,12.5,12.5,45979,EN,1,2.3,500,56,0
1993,cana,4228,4228,187008,106.9007,44231,-7.3,-16.4,46628,EN,0,0.5,40,23,0
1994,cana,6191,6191,312700,5003,50509,5.4,14.2,47159,N,0,0.3,381,13,4
1995,cana,6469,6469,310278,5734,47964,0.3,-5,47587,EN,0,1.3,93,24,5
1996,cana,4322,4322,197095,3942,45603,-4.9,-4.9,47961,LN,0,-0.9,135,37,7
1997,cana,4472,4472,217897,4467,48725,1.1,6.8,48348,N,0,-0.2,470,32,0
1998,cana,6700,6700,321600,6914,48000,-0.6,-1.5,48820,EN,1,2.2,189,39,10
1999,cana,5500,5500,278030,6395,50551,3.8,5.3,49434,LN,1,-1.5,93,57,1
2000,cana,5310,5310,247334,8409,46579,-6.1,-7.9,50229,LN,1,-1.7,458,23,0
2001,cana,5550,5430,263355,7345,48500,-4.5,4.1,51218,LN,0,-0.6,242,19,0
2002,cana,5750,5750,279000,9190,48522,-6.8,0,52394,N,0,-0.1,789,15,0
2003,cana,4600,4600,285200,9412,62000,16.4,27.8,53726,EN,0,0.9,344,22,12
2004,cana,2700,2700,151200,5746,56000,2.2,-9.7,55169,N,0,0.3,551,17,0
2005,cana,3129,3129,175224,6133,56000,-1.2,0,56670,EN,0,0.6,123,24,6
2006,cana,3252,3252,182112,7244,56000,-3.7,0,58167,LN,0,-0.9,169,24,1
2007,cana,3317,3317,194658,7915,58685,-1.1,4.8,59593,EN,0,0.6,305,34,18
2008,cana,3700,3700,247981,10167,67022,10.5,14.2,60883,LN,1,-1.6,332,11,27
2009,cana,3700,3700,227502,11102,61487,0,-8.3,61970,LN,0,-0.9,255,30,11
2010,cana,3700,3700,210900,10545,57000,-7.7,-7.3,62795,EN,1,1.5,261,17,9
2011,cana,3700,3700,253176,15216,68426,11.1,20,63311,LN,0,-1.4,224,15,3
2012,cana,3700,3700,239989,13199,64862,5.5,-5.2,63494,LN,0,-0.8,322,22,1
2013,cana,4592,4592,270928,17388,59000,-3.4,-9,63347,LN,0,-0.6,113,24,7
2014,cana,3827,3827,225793,14604,59000,-2.4,0,62907,LN,0,-0.5,339,16,2
2015,cana,212,212,17983,1493,84825,41.3,43.8,62241,EN,0,0.5,387,15,1
2016,cana,269,269,16140,1298,60000,0.5,-29.3,61435,EN,1,2.2,296,36,10
2017,cana,100,100,5500,486,55000,-7.3,-8.3,60585,LN,0,-0.7,102,15,12
2018,cana,300,300,16180,1133,53933,-8.6,-1.9,59779,LN,0,-1.1,454,18,5
2019,cana,300,300,18000,1620,60000,2.2,11.2,59084,EN,0,0.6,361,37,13
2020,cana,200,200,11558,1040,57790,-1,-3.7,58536,N,0,0.1,297,23,22
2021,cana,140,140,7925,793,56607,-2.5,-2,58141,LN,0,-1.2,298,13,6
2022,cana,60,60,3580,448,59667,3.2,5.4,57873,LN,0,-1.2,374,17,15
2023,cana,120,120,6666,933,55550,-3.6,-6.9,57690,LN,0,-0.8,495,11,0
2024,cana,97,97,5883,941,60649,5.6,9.2,57545,EN,0,1.2,266,22,53
1974,feijao,,40,16,0,400,465.2,,246,LN,1,-1.9,,,
1975,feijao,,35,7,0,200,41,-50,253,N,0,-0.2,,,
1976,feijao,,20,3,0,150,-27.6,-25,261,LN,0,-1.1,,,
1977,feijao,,10,4,0,400,49.4,166.7,274,EN,0,1.1,,,
1978,feijao,,40,11,0,275,-14.6,-31.2,292,EN,0,1.1,,,
1979,feijao,,20,5,0,250,-32.4,-9.1,319,N,0,0.2,,,
1980,feijao,,40,12,0,300,-27,20,354,EN,0,0.7,,,
1981,feijao,,42,14,0,333,-25.3,11.1,396,N,0,0.2,566,20,0
